id,link,descr_short,price,screen_size,resolution,cpu,ram,hdd_ssd,gpu,os
5074554,/product/a9069bce37c6ed20/14-noutbuk-dexp-aquilon-serebristyj/,"14"" Ноутбук DEXP Aquilon серебристый [Full HD (1920x1080), IPS, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, SSD 128 ГБ, Intel UHD Graphics 600 , Windows 11 Pro]",99990,14,1920x1080,Intel Celeron N4020,4,128,Intel UHD Graphics 600,Windows 11 Pro
5074520,/product/5b988b0337c5ed20/141-noutbuk-dexp-aquilon-seryj/,"14.1"" Ноутбук DEXP Aquilon серый [Full HD (1920x1080), IPS, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 8 ГБ, SSD 128 ГБ, Intel UHD Graphics 600 , Windows 11 Home Single Language]",109990,14.1,1920x1080,Intel Celeron N4020,8,128,Intel UHD Graphics 600,Windows 11 Home Single Language
5074555,/product/0997a2e037c7ed20/156-noutbuk-dexp-aquilon-serebristyj/,"15.6"" Ноутбук DEXP Aquilon серебристый [Full HD (1920x1080), IPS, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, SSD 128 ГБ, Intel UHD Graphics 600 , Windows 11 Pro]",109990,15.6,1920x1080,Intel Celeron N4020,4,128,Intel UHD Graphics 600,Windows 11 Pro
5074553,/product/1b77f39237c6ed20/156-noutbuk-dexp-aquilon-serebristyj/,"15.6"" Ноутбук DEXP Aquilon серебристый [Full HD (1920x1080), IPS, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 8 ГБ, SSD 128 ГБ, Intel UHD Graphics 600 , Windows 11 Home]",119990,15.6,1920x1080,Intel Celeron N4020,8,128,Intel UHD Graphics 600,Windows 11 Home
4900552,/product/5dd56779a0f76200/156-noutbuk-lenovo-ideapad-3-15igl05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IGL05 серый [HD (1366x768), TN+film, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics 600 , Windows 10 Home Single Language]",139990,15.6,1366x768,Intel Celeron N4020,4,1000,Intel UHD Graphics 600,Windows 10 Home Single Language
4900119,/product/b191d8b53c6ed050/156-noutbuk-lenovo-ideapad-3-15igl05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IGL05 серый [HD (1366x768), TN+film, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics , без ОС]",139990,15.6,1366x768,Intel Celeron N4020,4,1000,Intel UHD Graphics,без ОС
4901196,/product/49a9b98fc5e26200/14-noutbuk-hp-240-g8-serebristyj/,"14"" Ноутбук HP 240 G8 серебристый [HD (1366x768), SVA (TN+film), Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics , без ОС]",144990,14,1366x768,Intel Celeron N4020,4,1000,Intel UHD Graphics,без ОС
4860428,/product/7ca38f2c0945c823/14-noutbuk-lenovo-v14-igl-seryj/,"14"" Ноутбук Lenovo V14 IGL серый [Full HD (1920x1080), TN+film, Intel Celeron N4120, ядра: 4 х 1.1 ГГц, RAM 4 ГБ, SSD 256 ГБ, Intel UHD Graphics 600 , без ОС]",149990,14,1920x1080,Intel Celeron N4120,4,256,Intel UHD Graphics 600,без ОС
5347285,/product/023fd36b428f2eb3/156-noutbuk-acer-aspire-3-a315-34-c1jw-cernyj/,"15.6"" Ноутбук Acer Aspire 3 A315-34-C1JW черный [Full HD (1920x1080), TN+film, Intel Celeron N4000, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics 600 , без ОС]",149990,15.6,1920x1080,Intel Celeron N4000,4,1000,Intel UHD Graphics 600,без ОС
4900251,/product/4239c92167a4d050/156-noutbuk-lenovo-ideapad-3-15igl05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IGL05 серый [HD (1366x768), TN+film, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, SSD 256 ГБ, Intel UHD Graphics 600 , без ОС]",149990,15.6,1366x768,Intel Celeron N4020,4,256,Intel UHD Graphics 600,без ОС
4900359,/product/ab9d72e28329d050/156-noutbuk-acer-aspire-3-a315-34-c995-cernyj/,"15.6"" Ноутбук Acer Aspire 3 A315-34-C995 черный [Full HD (1920x1080), TN+film, Intel Celeron N4000, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",159990,15.6,1920x1080,Intel Celeron N4000,4,256,Intel UHD Graphics,без ОС
4900301,/product/415f5236691ed050/14-noutbuk-asus-vivobook-14-e410ma-bv1502w-cernyj/,"14"" Ноутбук ASUS VivoBook 14 E410MA-BV1502W черный [HD (1366x768), TN+film, Intel Celeron N4020, ядра: 2 х 1.1 ГГц, RAM 4 ГБ, SSD 128 ГБ, Intel UHD Graphics 600 , Windows 11 Home Single Language]",169990,14,1366x768,Intel Celeron N4020,4,128,Intel UHD Graphics 600,Windows 11 Home Single Language
9950255,/product/4522d648a693447b/156-noutbuk-acer-extensa-15-ex215-22-r0ak-cernyj/,"15.6"" Ноутбук Acer Extensa 15 EX215-22-R0AK черный [Full HD (1920x1080), TN+film, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , без ОС]",169990,15.6,1920x1080,AMD Ryzen 3 3250U,8,256,AMD Radeon Graphics,без ОС
5000156,/product/8001f9ba5e1aed20/156-noutbuk-asus-vivobook-go-l510ka-ej152-sinij/,"15.6"" Ноутбук ASUS VivoBook Go L510KA-EJ152 синий [Full HD (1920x1080), TN+film, Intel Pentium Silver N6000, ядра: 4 х 1.1 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",179990,15.6,1920x1080,Intel Pentium Silver N6000,8,256,Intel UHD Graphics,без ОС
4900360,/product/ab9d72e48329d050/156-noutbuk-acer-aspire-3-a315-34-c3kk-cernyj/,"15.6"" Ноутбук Acer Aspire 3 A315-34-C3KK черный [Full HD (1920x1080), TN+film, Intel Celeron N4000, ядра: 2 х 1.1 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",179990,15.6,1920x1080,Intel Celeron N4000,8,256,Intel UHD Graphics,без ОС
